master_product_id,master_product_code,master_product_name,brand_name,product_line_id,product_status,enabled,merged_into_master_product_id,valid_from,valid_to,notes,created_at,updated_at
2,MP000001,【鱼子酱洗护组合】弹动鱼子酱氨基酸洗发水发膜套装控油蓬松留香D,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
3,MP000002,弹动人参茶树纯露洗发水护发素套装控油留香蓬松洗护发膜洗发露D,弹动,2,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
4,MP000003,弹动鱼子酱氨基酸洗发水推荐发膜套装控油蓬松持久留香头发洗发露,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
5,MP000004,弹动鱼子酱氨基酸发膜套装控油蓬松持久留香柔顺护发素头发洗发水,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
6,MP000005,【夏季推荐】弹动鱼子酱氨基酸人参纯露洗发水套装蓬松控油洗发露D,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
7,MP000006,弹动鱼子酱氨基酸洗发水发膜套装控油蓬松持久留香头发洗发水推荐,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
8,MP000007,弹动鱼子酱氨基酸洗发水发膜鱼子酱奢护养护蓬松头发洗发露推荐,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
9,MP000008,弹动人参纯露洗护洗发水男士护发素控油蓬松柔顺留香发膜洗头膏K,弹动,2,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
10,MP000009,弹动椰子蓬松洗护系列控油蓬松留香双0配方顺养护修护洗发水ZB,弹动,,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
11,MP000010,弹动香水沐浴露持久留香保湿补水深层清洁润肤清爽香氛沐浴油D,弹动,,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
12,MP000011,弹动鱼子酱氨基酸洗护套装多效洗发水护发素蓬松顺滑养护洗头膏,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
13,MP000012,弹动鱼子酱氨基酸洗发水发膜柔顺蓬松去屑持久留香蓬松洗发水ZB,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
14,MP000013,【鱼子酱洗护组合】弹动鱼子酱氨基酸洗发水发膜套装蓬松控油留香D,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
15,MP000014,弹动洋甘菊二硫化硒洗头露留香控油净澈去屑洗发水清爽头发洗发水,弹动,,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
16,MP000015,弹动鱼子酱氨基酸洗护套装控油蓬松持久留香洗发水推荐S11,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
17,MP000016,弹动鱼子酱氨基酸洗发水控油蓬松洗头膏发膜持久留香洗护洗发水K,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
18,MP000017,弹动人参茶树纯露洗发水发膜控油防断蓬松舒缓修护高级洗发露ZB,弹动,2,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
19,MP000018,弹动人参茶树纯露洗发水柔顺控油蓬松保湿持久控油头发洗发露推荐,弹动,2,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
20,MP000019,【618官方现货】弹动椰子蓬松洗发水发膜洗护套装控油蓬松留香ZB,弹动,,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
21,MP000020,弹动乳酸菌白松露护发素洗发水套装去屑控油蓬松洗发露香氛发膜D,弹动,,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
22,MP000021,【618官方现货】弹动椰子蓬松洗发洗护套装控油蓬松双0配方洗发露ZB,弹动,,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
23,MP000022,弹动鱼子酱氨基酸洗护套装控油蓬松持久留香头发洗发水推荐fnn,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
24,MP000023,弹动鱼子酱洗发水氨基酸洗护养护修护高级洗头控油洗发水洗发露,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
25,MP000024,弹动鱼子酱氨基酸洗发水发膜蓬松控油蓬松头发留香洗头洗发露DXS,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
26,MP000025,弹动鱼子酱氨基酸洗发水蓬松控油高颅顶洗护套装香氛洗发膏护发素,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
27,MP000026,弹动椰子蓬松洗发水发膜套装柔顺养护控油蓬松持久留香双0配方Q,弹动,,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
28,MP000027,弹动椰子洗发水推荐护发素控油双0配方多效柔顺养护修护洗头膏K,弹动,,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
29,MP000028,弹动鱼子酱氨基酸控油蓬松洗发水保湿养护发膜持久留香洗发推荐K,弹动,1,ACTIVE,t,,,,初始治理：标准化归组人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
