mapping_id,platform_code,shop_id,platform_product_id,platform_product_name_snapshot,master_product_id,mapping_status,mapping_source,confidence_score,valid_from,valid_to,enabled,reviewed_by,reviewed_at,notes,created_at,updated_at
1,douyin,1,3523538019611183417,【鱼子酱洗护组合】弹动鱼子酱氨基酸洗发水发膜套装控油蓬松留香D,2,CONFIRMED,MANUAL,1.0000,2026-06-01,,t,MASTERDATA_ADMIN,2026-08-08 14:51:26.415521+08,初始治理人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
2,douyin,1,3658584866435510760,弹动人参茶树纯露洗发水护发素套装控油留香蓬松洗护发膜洗发露D,3,CONFIRMED,MANUAL,1.0000,2026-06-01,,t,MASTERDATA_ADMIN,2026-08-08 14:51:26.415521+08,初始治理人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
3,douyin,2,3822240520315470154,弹动鱼子酱氨基酸洗发水推荐发膜套装控油蓬松持久留香头发洗发露,4,CONFIRMED,MANUAL,1.0000,2026-06-01,,t,MASTERDATA_ADMIN,2026-08-08 14:51:26.415521+08,初始治理人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
4,douyin,1,3777721060405936555,弹动鱼子酱氨基酸发膜套装控油蓬松持久留香柔顺护发素头发洗发水,5,CONFIRMED,MANUAL,1.0000,2026-06-01,,t,MASTERDATA_ADMIN,2026-08-08 14:51:26.415521+08,初始治理人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
5,douyin,1,3697011738043089300,【夏季推荐】弹动鱼子酱氨基酸人参纯露洗发水套装蓬松控油洗发露D,6,CONFIRMED,MANUAL,1.0000,2026-06-01,,t,MASTERDATA_ADMIN,2026-08-08 14:51:26.415521+08,初始治理人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
6,douyin,2,3700110037105115368,弹动鱼子酱氨基酸洗发水发膜套装控油蓬松持久留香头发洗发水推荐,7,CONFIRMED,MANUAL,1.0000,2026-06-01,,t,MASTERDATA_ADMIN,2026-08-08 14:51:26.415521+08,初始治理人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
7,douyin,2,3809452311126868036,弹动鱼子酱氨基酸洗发水发膜鱼子酱奢护养护蓬松头发洗发露推荐,8,CONFIRMED,MANUAL,1.0000,2026-06-01,,t,MASTERDATA_ADMIN,2026-08-08 14:51:26.415521+08,初始治理人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
8,douyin,1,3679939786237411406,弹动人参纯露洗护洗发水男士护发素控油蓬松柔顺留香发膜洗头膏K,9,CONFIRMED,MANUAL,1.0000,2026-06-01,,t,MASTERDATA_ADMIN,2026-08-08 14:51:26.415521+08,初始治理人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
9,douyin,2,3801439362340749595,弹动椰子蓬松洗护系列控油蓬松留香双0配方顺养护修护洗发水ZB,10,CONFIRMED,MANUAL,1.0000,2026-06-01,,t,MASTERDATA_ADMIN,2026-08-08 14:51:26.415521+08,初始治理人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
10,douyin,1,3638336876483616833,弹动香水沐浴露持久留香保湿补水深层清洁润肤清爽香氛沐浴油D,11,CONFIRMED,MANUAL,1.0000,2026-06-01,,t,MASTERDATA_ADMIN,2026-08-08 14:51:26.415521+08,初始治理人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
11,douyin,1,3547241828338273156,弹动鱼子酱氨基酸洗护套装多效洗发水护发素蓬松顺滑养护洗头膏,12,CONFIRMED,MANUAL,1.0000,2026-06-01,,t,MASTERDATA_ADMIN,2026-08-08 14:51:26.415521+08,初始治理人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
12,douyin,2,3740745940508738168,弹动鱼子酱氨基酸洗发水发膜柔顺蓬松去屑持久留香蓬松洗发水ZB,13,CONFIRMED,MANUAL,1.0000,2026-06-01,,t,MASTERDATA_ADMIN,2026-08-08 14:51:26.415521+08,初始治理人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
13,douyin,1,3588464918741052956,【鱼子酱洗护组合】弹动鱼子酱氨基酸洗发水发膜套装蓬松控油留香D,14,CONFIRMED,MANUAL,1.0000,2026-06-01,,t,MASTERDATA_ADMIN,2026-08-08 14:51:26.415521+08,初始治理人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
14,douyin,1,3726899071131189459,弹动洋甘菊二硫化硒洗头露留香控油净澈去屑洗发水清爽头发洗发水,15,CONFIRMED,MANUAL,1.0000,2026-06-01,,t,MASTERDATA_ADMIN,2026-08-08 14:51:26.415521+08,初始治理人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
15,douyin,2,3777875340127502708,弹动鱼子酱氨基酸洗护套装控油蓬松持久留香洗发水推荐S11,16,CONFIRMED,MANUAL,1.0000,2026-06-01,,t,MASTERDATA_ADMIN,2026-08-08 14:51:26.415521+08,初始治理人工确认,2026-08-08 14:51:26.415521+08,2026-08-08 14:51:26.415521+08
