Output format is unaligned.
Field separator is "|".
meta|trg_audit_master_product|TRIGGER|postgres||table=master_product;event=21
meta|trg_audit_ppm|TRIGGER|postgres||table=platform_product_mapping;event=21
meta|trg_audit_psm|TRIGGER|postgres||table=platform_sku_mapping;event=21
meta|trg_master_product_code|TRIGGER|postgres||table=master_product;event=7
meta|trg_master_sku_code|TRIGGER|postgres||table=master_sku;event=7
audit|ai_diagnosis_run_run_id_seq|SEQUENCE|postgres||
audit|import_batch_batch_id_seq|SEQUENCE|postgres||
audit|masterdata_change_log_change_id_seq|SEQUENCE|postgres||
core|douyin_account_daily_row_id_seq|SEQUENCE|postgres||
core|douyin_audience_daily_row_id_seq|SEQUENCE|postgres||
core|douyin_carrier_daily_row_id_seq|SEQUENCE|postgres||
core|douyin_category_daily_row_id_seq|SEQUENCE|postgres||
core|douyin_content_daily_row_id_seq|SEQUENCE|postgres||
core|douyin_deal_daily_row_id_seq|SEQUENCE|postgres||
core|douyin_price_band_daily_row_id_seq|SEQUENCE|postgres||
core|douyin_product_daily_row_id_seq|SEQUENCE|postgres||
core|douyin_terminal_daily_row_id_seq|SEQUENCE|postgres||
mart|anomaly_event_anomaly_event_id_seq|SEQUENCE|postgres||
mart|daily_action_item_action_item_id_seq|SEQUENCE|postgres||
mart|diagnostic_result_diagnostic_id_seq|SEQUENCE|postgres||
mart|mart_dimension_rule_rule_id_seq|SEQUENCE|postgres||
mart|opportunity_event_opportunity_event_id_seq|SEQUENCE|postgres||
meta|database_object_dictionary_dictionary_id_seq|SEQUENCE|postgres||
meta|field_mapping_mapping_id_seq|SEQUENCE|postgres||
meta|master_product_alias_alias_id_seq|SEQUENCE|postgres||
meta|master_product_master_product_id_seq|SEQUENCE|postgres||
meta|master_sku_alias_alias_id_seq|SEQUENCE|postgres||
meta|master_sku_master_sku_id_seq|SEQUENCE|postgres||
meta|metric_formula_rule_metric_rule_id_seq|SEQUENCE|postgres||
meta|platform_product_mapping_mapping_id_seq|SEQUENCE|postgres||
meta|platform_sku_mapping_mapping_id_seq|SEQUENCE|postgres||
meta|product_line_product_line_id_seq|SEQUENCE|postgres||
meta|shop_shop_id_seq|SEQUENCE|postgres||
psql:D:/ecommerce-data-system/convergence_final/scripts/s03_triggers_sequences.sql:52: ERROR:  missing FROM-clause entry for table "i"
LINE 6: ...indisprimary || ';definition=' || pg_get_indexdef(i.indexrel...
                                                             ^
audit|ai_diagnosis_run_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=ai_diagnosis_run;definition=PRIMARY KEY (run_id)
audit|ck_import_period|CONSTRAINT_CHECK|postgres||table=import_batch;definition=CHECK (((period_start IS NULL) OR (period_end IS NULL) OR (period_start <= period_end)))
audit|ck_inserted_row_count|CONSTRAINT_CHECK|postgres||table=import_batch;definition=CHECK ((inserted_row_count >= 0))
audit|ck_source_row_count|CONSTRAINT_CHECK|postgres||table=import_batch;definition=CHECK ((source_row_count >= 0))
audit|fk_import_batch_shop|CONSTRAINT_FOREIGN_KEY|postgres||table=import_batch;definition=FOREIGN KEY (shop_id) REFERENCES meta.shop(shop_id)
audit|import_batch_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=import_batch;definition=PRIMARY KEY (batch_id)
audit|masterdata_change_log_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=masterdata_change_log;definition=PRIMARY KEY (change_id)
core|douyin_account_daily_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=douyin_account_daily;definition=PRIMARY KEY (row_id)
core|douyin_account_daily_source_row_number_check|CONSTRAINT_CHECK|postgres||table=douyin_account_daily;definition=CHECK ((source_row_number >= 2))
core|douyin_audience_daily_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=douyin_audience_daily;definition=PRIMARY KEY (row_id)
core|douyin_audience_daily_source_row_number_check|CONSTRAINT_CHECK|postgres||table=douyin_audience_daily;definition=CHECK ((source_row_number >= 2))
core|douyin_carrier_daily_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=douyin_carrier_daily;definition=PRIMARY KEY (row_id)
core|douyin_carrier_daily_source_row_number_check|CONSTRAINT_CHECK|postgres||table=douyin_carrier_daily;definition=CHECK ((source_row_number >= 2))
core|douyin_category_daily_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=douyin_category_daily;definition=PRIMARY KEY (row_id)
core|douyin_category_daily_source_row_number_check|CONSTRAINT_CHECK|postgres||table=douyin_category_daily;definition=CHECK ((source_row_number >= 2))
core|douyin_content_daily_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=douyin_content_daily;definition=PRIMARY KEY (row_id)
core|douyin_content_daily_source_row_number_check|CONSTRAINT_CHECK|postgres||table=douyin_content_daily;definition=CHECK ((source_row_number >= 2))
core|douyin_deal_daily_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=douyin_deal_daily;definition=PRIMARY KEY (row_id)
core|douyin_deal_daily_source_row_number_check|CONSTRAINT_CHECK|postgres||table=douyin_deal_daily;definition=CHECK ((source_row_number >= 2))
core|douyin_price_band_daily_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=douyin_price_band_daily;definition=PRIMARY KEY (row_id)
core|douyin_price_band_daily_source_row_number_check|CONSTRAINT_CHECK|postgres||table=douyin_price_band_daily;definition=CHECK ((source_row_number >= 2))
core|douyin_product_daily_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=douyin_product_daily;definition=PRIMARY KEY (row_id)
core|douyin_product_daily_source_row_number_check|CONSTRAINT_CHECK|postgres||table=douyin_product_daily;definition=CHECK ((source_row_number >= 2))
core|douyin_terminal_daily_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=douyin_terminal_daily;definition=PRIMARY KEY (row_id)
core|douyin_terminal_daily_source_row_number_check|CONSTRAINT_CHECK|postgres||table=douyin_terminal_daily;definition=CHECK ((source_row_number >= 2))
core|fk_douyin_account_daily_batch|CONSTRAINT_FOREIGN_KEY|postgres||table=douyin_account_daily;definition=FOREIGN KEY (batch_id) REFERENCES audit.import_batch(batch_id)
core|fk_douyin_account_daily_shop|CONSTRAINT_FOREIGN_KEY|postgres||table=douyin_account_daily;definition=FOREIGN KEY (shop_id) REFERENCES meta.shop(shop_id)
core|fk_douyin_audience_daily_batch|CONSTRAINT_FOREIGN_KEY|postgres||table=douyin_audience_daily;definition=FOREIGN KEY (batch_id) REFERENCES audit.import_batch(batch_id)
core|fk_douyin_audience_daily_shop|CONSTRAINT_FOREIGN_KEY|postgres||table=douyin_audience_daily;definition=FOREIGN KEY (shop_id) REFERENCES meta.shop(shop_id)
core|fk_douyin_carrier_daily_batch|CONSTRAINT_FOREIGN_KEY|postgres||table=douyin_carrier_daily;definition=FOREIGN KEY (batch_id) REFERENCES audit.import_batch(batch_id)
core|fk_douyin_carrier_daily_shop|CONSTRAINT_FOREIGN_KEY|postgres||table=douyin_carrier_daily;definition=FOREIGN KEY (shop_id) REFERENCES meta.shop(shop_id)
core|fk_douyin_category_daily_batch|CONSTRAINT_FOREIGN_KEY|postgres||table=douyin_category_daily;definition=FOREIGN KEY (batch_id) REFERENCES audit.import_batch(batch_id)
core|fk_douyin_category_daily_shop|CONSTRAINT_FOREIGN_KEY|postgres||table=douyin_category_daily;definition=FOREIGN KEY (shop_id) REFERENCES meta.shop(shop_id)
core|fk_douyin_content_daily_batch|CONSTRAINT_FOREIGN_KEY|postgres||table=douyin_content_daily;definition=FOREIGN KEY (batch_id) REFERENCES audit.import_batch(batch_id)
core|fk_douyin_content_daily_shop|CONSTRAINT_FOREIGN_KEY|postgres||table=douyin_content_daily;definition=FOREIGN KEY (shop_id) REFERENCES meta.shop(shop_id)
core|fk_douyin_deal_daily_batch|CONSTRAINT_FOREIGN_KEY|postgres||table=douyin_deal_daily;definition=FOREIGN KEY (batch_id) REFERENCES audit.import_batch(batch_id)
core|fk_douyin_deal_daily_shop|CONSTRAINT_FOREIGN_KEY|postgres||table=douyin_deal_daily;definition=FOREIGN KEY (shop_id) REFERENCES meta.shop(shop_id)
core|fk_douyin_price_band_daily_batch|CONSTRAINT_FOREIGN_KEY|postgres||table=douyin_price_band_daily;definition=FOREIGN KEY (batch_id) REFERENCES audit.import_batch(batch_id)
core|fk_douyin_price_band_daily_shop|CONSTRAINT_FOREIGN_KEY|postgres||table=douyin_price_band_daily;definition=FOREIGN KEY (shop_id) REFERENCES meta.shop(shop_id)
core|fk_douyin_product_daily_batch|CONSTRAINT_FOREIGN_KEY|postgres||table=douyin_product_daily;definition=FOREIGN KEY (batch_id) REFERENCES audit.import_batch(batch_id)
