page,ui_label,frontend_field,api_field,db_field,db_cn_name,result
today,成交金额,c.transaction_amount,api_field,db_field,db_cn_name,OK
today,用户支付金额,c.user_pay_amount,api_field,db_field,db_cn_name,OK
today,退款金额(支付时间),c.refund_amount_pay_time,api_field,db_field,db_cn_name,OK
today,结算金额,c.settlement_amount,api_field,db_field,db_cn_name,OK
today,退款率,c.refund_rate,api_field,db_field,db_cn_name,OK
today,投放消耗,c.ad_spend_shop_bound,api_field,db_field,db_cn_name,OK
today,投放费比,c.ad_spend_rate_net_refund_shop_bound,api_field,db_field,db_cn_name,OK
today,成交金额趋势 ${covBadge(cur.meta)},TrendSvg(metric),-,-,-,INFO
product-card,成交金额,s.data.transaction_amount,api_field,db_field,db_cn_name,OK
product-card,用户支付金额,s.data.user_pay_amount,api_field,db_field,db_cn_name,OK
product-card,退款率,s.data.refund_rate,api_field,db_field,db_cn_name,OK
product-card,结算金额,s.data.settlement_amount,api_field,db_field,db_cn_name,OK
product-card,投放消耗,s.data.ad_spend_shop_bound,api_field,db_field,db_cn_name,OK
product-card,商品卡成交金额趋势 ${covBadge(s.meta)},TrendSvg(metric),-,-,-,INFO
advertising,投放消耗(店铺被投),m.ad_spend_shop_promoted,api_field,db_field,db_cn_name,OK
advertising,投放消耗(店铺绑定),m.ad_spend_shop_bound,api_field,db_field,db_cn_name,OK
advertising,投放贡献成交,m.ad_attributed_transaction_amount,api_field,db_field,db_cn_name,OK
advertising,投放贡献占比,m.ad_attributed_transaction_share,api_field,db_field,db_cn_name,OK
advertising,投放费比,m.ad_spend_rate_net_refund_shop_bound,api_field,db_field,db_cn_name,OK
advertising,综合费比,m.total_expense_rate_net_refund_shop_bound,api_field,db_field,db_cn_name,OK
advertising,投放效率,m.ad_efficiency_shop_bound,api_field,db_field,db_cn_name,OK
advertising,全店效率,m.store_efficiency_shop_bound,api_field,db_field,db_cn_name,OK
refund,退款金额(支付时间),s.data.refund_amount_pay_time,api_field,db_field,db_cn_name,OK
refund,退款率,s.data.refund_rate,api_field,db_field,db_cn_name,OK
refund,成交金额,s.data.transaction_amount,api_field,db_field,db_cn_name,OK
refund,用户支付金额,s.data.user_pay_amount,api_field,db_field,db_cn_name,OK
live,成交金额,s.data.transaction_amount,api_field,db_field,db_cn_name,OK
live,用户支付金额,s.data.user_pay_amount,api_field,db_field,db_cn_name,OK
live,退款率,s.data.refund_rate,api_field,db_field,db_cn_name,OK
live,投放消耗,s.data.ad_spend_shop_bound,api_field,db_field,db_cn_name,OK
live,直播成交金额趋势,TrendSvg(metric),-,-,-,INFO
video,成交金额,s.data.transaction_amount,api_field,db_field,db_cn_name,OK
video,用户支付金额,s.data.user_pay_amount,api_field,db_field,db_cn_name,OK
video,退款率,s.data.refund_rate,api_field,db_field,db_cn_name,OK
video,投放消耗,s.data.ad_spend_shop_bound,api_field,db_field,db_cn_name,OK
video,短视频成交金额趋势,TrendSvg(metric),-,-,-,INFO
store,成交金额,table-header,-,-,-,INFO
products,用户支付金额,table-header,-,-,-,INFO
refund,用户支付金额,table-header,-,-,-,INFO
