case,scope,metric,result,api_value,core_value,note
官方-单日,全店,transaction_amount,PASS,361072.34,361072.34,差异0.0000
官方-单日,全店,user_pay_amount,PASS,302528.23,302528.23,差异0.0000
官方-单日,全店,refund_amount_pay_time,PASS,48512.1,48512.1,差异0.0000
官方-单日,全店,settlement_amount,PASS,305213.57,305213.57,差异0.0000
官方-单日,全店,ad_spend_shop_bound,PASS,127363.88,127363.88,差异0.0000
官方-单日,自营,user_pay_amount,PASS,281209.41,-,scope口径由mart计算
官方-单日,合作,user_pay_amount,PASS,21318.82,-,scope口径由mart计算
官方-单日,商品卡,user_pay_amount,PASS,105121.5,-,scope口径由mart计算
官方-单日,直播,user_pay_amount,PASS,145463.98,-,scope口径由mart计算
官方-单日,短视频,user_pay_amount,PASS,38481.37,-,scope口径由mart计算
官方-单日,自营直播,user_pay_amount,PASS,144683.11,-,scope口径由mart计算
官方-单日,合作短视频,user_pay_amount,PASS,14980.66,-,scope口径由mart计算
官方-7日,全店,transaction_amount,PASS,2545921.44,2545921.44,差异0.0000
官方-7日,全店,user_pay_amount,PASS,2124216.95,2124216.95,差异0.0000
官方-7日,全店,refund_amount_pay_time,PASS,352006.12,352006.12,差异0.0000
官方-7日,全店,settlement_amount,PASS,2140029.83,2140029.83,差异0.0000
官方-7日,全店,ad_spend_shop_bound,PASS,914675.49,914675.49,差异0.0000
官方-7日,自营,user_pay_amount,PASS,1961532.34,-,scope口径由mart计算
官方-7日,合作,user_pay_amount,PASS,162684.61,-,scope口径由mart计算
官方-7日,商品卡,user_pay_amount,PASS,702384.72,-,scope口径由mart计算
官方-7日,直播,user_pay_amount,PASS,1067420.14,-,scope口径由mart计算
官方-7日,短视频,user_pay_amount,PASS,256383.16,-,scope口径由mart计算
官方-7日,自营直播,user_pay_amount,PASS,1061030.52,-,scope口径由mart计算
官方-7日,合作短视频,user_pay_amount,PASS,116699.27,-,scope口径由mart计算
官方-30日,全店,transaction_amount,PASS,11272093.18,11272093.18,差异0.0000
官方-30日,全店,user_pay_amount,PASS,9397490.9,9397490.9,差异0.0000
官方-30日,全店,refund_amount_pay_time,PASS,1556715.99,1556715.99,差异0.0000
官方-30日,全店,settlement_amount,PASS,9461162.26,9461162.26,差异0.0000
官方-30日,全店,ad_spend_shop_bound,PASS,4016358.22,4016358.22,差异0.0000
官方-30日,自营,user_pay_amount,PASS,8758528.79,-,scope口径由mart计算
官方-30日,合作,user_pay_amount,PASS,638962.11,-,scope口径由mart计算
官方-30日,商品卡,user_pay_amount,PASS,3202866.49,-,scope口径由mart计算
官方-30日,直播,user_pay_amount,PASS,4789011.97,-,scope口径由mart计算
官方-30日,短视频,user_pay_amount,PASS,1013930.74,-,scope口径由mart计算
官方-30日,自营直播,user_pay_amount,PASS,4756550.08,-,scope口径由mart计算
官方-30日,合作短视频,user_pay_amount,PASS,444795.71,-,scope口径由mart计算
护理-7日,全店,transaction_amount,PASS,478724.79,478724.79,差异0.0000
护理-7日,全店,user_pay_amount,PASS,419278.68,419278.68,差异0.0000
护理-7日,全店,refund_amount_pay_time,PASS,124492.88,124492.88,差异0.0000
护理-7日,全店,settlement_amount,PASS,342698.71,342698.71,差异0.0000
护理-7日,全店,ad_spend_shop_bound,PASS,150486.11,150486.11,差异0.0000
护理-7日,自营,user_pay_amount,PASS,227261.92,-,scope口径由mart计算
护理-7日,合作,user_pay_amount,PASS,192016.76,-,scope口径由mart计算
护理-7日,商品卡,user_pay_amount,PASS,142773.11,-,scope口径由mart计算
护理-7日,直播,user_pay_amount,PASS,215883.1,-,scope口径由mart计算
护理-7日,短视频,user_pay_amount,PASS,39127.13,-,scope口径由mart计算
护理-7日,自营直播,user_pay_amount,PASS,80305.08,-,scope口径由mart计算
护理-7日,合作短视频,user_pay_amount,PASS,20617.65,-,scope口径由mart计算
整体-7日,全店,transaction_amount,PASS,3024646.23,3024646.23,差异0.0000
整体-7日,全店,user_pay_amount,PASS,2543495.63,2543495.63,差异0.0000
整体-7日,全店,refund_amount_pay_time,PASS,476499.0,476499.0,差异0.0000
整体-7日,全店,settlement_amount,PASS,2482728.54,2482728.54,差异0.0000
整体-7日,全店,ad_spend_shop_bound,PASS,1065161.6,1065161.6,差异0.0000
整体-7日,自营,user_pay_amount,PASS,2188794.26,-,scope口径由mart计算
整体-7日,合作,user_pay_amount,PASS,354701.37,-,scope口径由mart计算
整体-7日,商品卡,user_pay_amount,PASS,845157.83,-,scope口径由mart计算
整体-7日,直播,user_pay_amount,PASS,1283303.24,-,scope口径由mart计算
整体-7日,短视频,user_pay_amount,PASS,295510.29,-,scope口径由mart计算
整体-7日,自营直播,user_pay_amount,PASS,1141335.6,-,scope口径由mart计算
整体-7日,合作短视频,user_pay_amount,PASS,137316.92,-,scope口径由mart计算
整体-30日,全店,transaction_amount,PASS,14767615.74,14767615.74,差异0.0000
整体-30日,全店,user_pay_amount,PASS,12479980.53,12479980.53,差异0.0000
整体-30日,全店,refund_amount_pay_time,PASS,2378682.86,2378682.86,差异0.0000
整体-30日,全店,settlement_amount,PASS,12053913.15,12053913.15,差异0.0000
整体-30日,全店,ad_spend_shop_bound,PASS,4980258.16,4980258.16,差异0.0000
整体-30日,自营,user_pay_amount,PASS,10013056.63,-,scope口径由mart计算
整体-30日,合作,user_pay_amount,PASS,2466923.9,-,scope口径由mart计算
整体-30日,商品卡,user_pay_amount,PASS,3879898.78,-,scope口径由mart计算
整体-30日,直播,user_pay_amount,PASS,6912441.99,-,scope口径由mart计算
整体-30日,短视频,user_pay_amount,PASS,1198806.74,-,scope口径由mart计算
整体-30日,自营直播,user_pay_amount,PASS,5325843.94,-,scope口径由mart计算
整体-30日,合作短视频,user_pay_amount,PASS,543708.29,-,scope口径由mart计算
