case,detail,excel_value,core_value,mart_value,result
商品卡列表-10键,商品352353801961,1381642.46,1381642.46,,PASS
商品卡列表-10键,商品377772106040,375307.95,375307.95,,PASS
商品卡列表-10键,商品365858486643,342960.36,342960.36,,PASS
商品卡列表-10键,商品367993978623,128809.25,128809.25,,PASS
商品卡列表-10键,商品363833687648,103686.88,103686.88,,PASS
商品卡列表-10键,商品358846491874,79036.06,79036.06,,PASS
商品卡列表-10键,商品354724182833,78523.07,78523.07,,PASS
商品卡列表-10键,商品358767305781,67096.67,67096.67,,PASS
商品卡列表-10键,商品364804502700,60672.53,60672.53,,PASS
商品卡列表-10键,商品372689907113,58106.35,58106.35,,PASS
流量来源-3键,合作达人|-,55715.32,55715.32,,PASS
流量来源-3键,搜索|-,48969.11,48969.11,,PASS
流量来源-3键,搜索|垂搜,25192.51,25192.51,,PASS
视频-10键,视频764180397292,2172.77,2172.77,,PASS
视频-10键,视频761326842405,1983.84,1983.84,,PASS
视频-10键,视频761725048423,1786.18,1786.18,,PASS
视频-10键,视频765722827584,1432.27,1432.27,,PASS
视频-10键,视频765230274648,704.0,704.0,,PASS
视频-10键,视频765580959815,699.69,699.69,,PASS
视频-10键,视频763796367408,689.59,689.59,,PASS
视频-10键,视频765686348256,580.99,580.99,,PASS
视频-10键,视频762138754979,574.97,574.97,,PASS
视频-10键,视频765574442023,516.1,516.1,,PASS
直播场次-5键,直播间920411,1198.7666666666667,1198.7666666666667,,PASS
直播场次-5键,直播间891290,1199.1,1199.1,,PASS
直播场次-5键,直播间315913,1152.2333333333333,1152.2333333333333,,PASS
直播场次-5键,直播间474075,1199.0833333333333,1199.0833333333333,,PASS
直播场次-5键,直播间694171,1198.9833333333333,1198.9833333333333,,PASS
素材-10键,素材737507587240,4235.76,4235.76,,PASS
素材-10键,素材758999904946,2951.48,2951.48,,PASS
素材-10键,素材759184684181,2019.15,2019.15,,PASS
素材-10键,素材757664064064,1653.26,1653.26,,PASS
素材-10键,素材760284628547,1099.9,1099.9,,PASS
素材-10键,素材762968963886,1032.5,1032.5,,PASS
素材-10键,素材766010890598,1062.07,1062.07,,PASS
素材-10键,素材761335394711,1315.89,1315.89,,PASS
素材-10键,素材761595326450,753.1,753.1,,PASS
素材-10键,素材760468559590,859.18,859.18,,PASS
直播日数据,全部,296134.81,296134.81,,PASS
直播日数据,2026-07-08,151229.4,151229.4,,PASS
直播日数据,2026-07-09,144905.41,144905.41,,PASS
