source_id,file_name,file_path,report_name,sheet_name,shop,platform,file_size,sha256,period_start,period_end,download_time,header_count,row_count,time_semantics,candidate_grain,candidate_business_key,existing_mapping,existing_core_object,existing_mart_object,status
1,商品卡列表数据_2026_05_01~2026_05_31.xlsx,C:/Users/EDY/Downloads/商品卡列表数据_2026_05_01~2026_05_31.xlsx,商品卡列表,sheet1,官方,douyin,111601,fc79dceab912b011,2026-05-01,2026-05-31,-,31,598,PERIOD_SNAPSHOT,-,-,-,-,-,DATA_ONBOARDING_GAP
2,商品卡列表数据_2026_05_01~2026_05_31 (1).xlsx,C:/Users/EDY/Downloads/商品卡列表数据_2026_05_01~2026_05_31 (1).xlsx,商品卡列表,sheet1,官方,douyin,62908,319099c2dea39e55,2026-05-01,2026-05-31,-,31,326,PERIOD_SNAPSHOT,-,-,-,-,-,DATA_ONBOARDING_GAP
3,商品卡列表数据_2026_06_01~2026_06_30.xlsx,C:/Users/EDY/Downloads/商品卡列表数据_2026_06_01~2026_06_30.xlsx,商品卡列表,sheet1,官方,douyin,76081,e324d3855c0008d1,2026-06-01,2026-06-30,-,31,391,PERIOD_SNAPSHOT,-,-,-,-,-,DATA_ONBOARDING_GAP
4,商品卡列表数据_2026_06_01~2026_06_30 (1).xlsx,C:/Users/EDY/Downloads/商品卡列表数据_2026_06_01~2026_06_30 (1).xlsx,商品卡列表,sheet1,官方,douyin,60045,2179066efe3fa8f9,2026-06-01,2026-06-30,-,31,307,PERIOD_SNAPSHOT,-,-,-,-,-,DATA_ONBOARDING_GAP
5,商品卡列表数据_2026_06_16~2026_07_15.xlsx,C:/Users/EDY/Downloads/商品卡列表数据_2026_06_16~2026_07_15.xlsx,商品卡列表,sheet1,官方,douyin,49262,e9540553170830ff,2026-06-16,2026-07-15,-,18,301,PERIOD_SNAPSHOT,-,-,-,-,-,DATA_ONBOARDING_GAP
6,商品卡列表数据_2026_06_30~2026_07_06.xlsx,C:/Users/EDY/Downloads/商品卡列表数据_2026_06_30~2026_07_06.xlsx,商品卡列表,sheet1,官方,douyin,55792,58c22cc3fa8cc9db,2026-06-30,2026-07-06,-,31,272,PERIOD_SNAPSHOT,-,-,-,-,-,DATA_ONBOARDING_GAP
7,商品卡流量分析流量来源数据_2026_06_30~2026_07_06.xlsx,C:/Users/EDY/Downloads/商品卡流量分析流量来源数据_2026_06_30~2026_07_06.xlsx,商品卡流量来源,sheet1,官方,douyin,9052,f3280dea083c6497,2026-06-30,2026-07-06,-,17,25,PERIOD_SNAPSHOT,-,-,-,-,-,DATA_ONBOARDING_GAP
8,[20260630-20260706]_{自营}_{挂车}_{全部}_{所有账号}_{发布时间不限}视频详情数据.xlsx,C:/Users/EDY/Downloads/[20260630-20260706]_{自营}_{挂车}_{全部}_{所有账号}_{发布时间不限}视频详情数据.xlsx,视频详情-自营挂车,sheet1,官方,douyin,175435,c19e3de28c991c26,20260630,20260706,-,40,1062,PERIOD_SNAPSHOT,-,-,-,-,-,DATA_ONBOARDING_GAP
9,[20260630-20260706]_{自营}_{非挂车}_{全部}_{所有账号}_{发布时间不限}视频详情数据.xlsx,C:/Users/EDY/Downloads/[20260630-20260706]_{自营}_{非挂车}_{全部}_{所有账号}_{发布时间不限}视频详情数据.xlsx,视频详情-自营非挂车,sheet1,官方,douyin,110444,2da3a8b1cfd592e4,20260630,20260706,-,30,818,PERIOD_SNAPSHOT,-,-,-,-,-,DATA_ONBOARDING_GAP
10,[20260630-20260706]_{合作}_{挂车}_{全部}_{所有账号}_{发布时间不限}视频详情数据.xlsx,C:/Users/EDY/Downloads/[20260630-20260706]_{合作}_{挂车}_{全部}_{所有账号}_{发布时间不限}视频详情数据.xlsx,视频详情-合作挂车,sheet1,官方,douyin,406021,1c80e7245ac86eba,20260630,20260706,-,39,1853,PERIOD_SNAPSHOT,-,-,-,-,-,DATA_ONBOARDING_GAP
11,[20260630-20260706]_{合作}_{非挂车}_{全部}_{所有账号}_{发布时间不限}视频详情数据.xlsx,C:/Users/EDY/Downloads/[20260630-20260706]_{合作}_{非挂车}_{全部}_{所有账号}_{发布时间不限}视频详情数据.xlsx,视频详情-合作非挂车,sheet1,官方,douyin,76816,a82ed858f866e8eb,20260630,20260706,-,27,336,PERIOD_SNAPSHOT,-,-,-,-,-,DATA_ONBOARDING_GAP
