route,network_requests,requests_per_page,time_semantics
/today,summary+trend+compare+risks+opps+contribution,6,DAILY_FACT
/store,shop-contribution,1,DAILY_FACT
/priorities,risks+opportunities+intelligence-status,3,PERIOD_SNAPSHOT
/product-lines,master-data/product-lines+members+product-lines/summary,3,DAILY_FACT
/master-products,master-products/rank+master-data/products,2,DAILY_FACT
/products,business/products/top,1,DAILY_FACT
/product-card,summary+trend+snapshot-summary+snapshot-rank,4,DAILY_FACT+PERIOD_SNAPSHOT
/advertising,advertising/summary,1,DAILY_FACT
/refunds,business/summary,1,DAILY_FACT
/accounts,accounts/top,1,DAILY_FACT
/live,summary+trend+live/sessions+live/daily,4,DAILY_FACT+SESSION_FACT
/videos,summary+trend+video/snapshot-summary+snapshot-rank,4,DAILY_FACT+PERIOD_SNAPSHOT
/search,无(SOURCE_NOT_AVAILABLE),0,-
/materials,materials/snapshot-rank,1,PERIOD_SNAPSHOT
/smart-operation,risks+opportunities+intelligence-status,3,PERIOD_SNAPSHOT
/risks,risks/complete+intelligence-status,2,EVENT
/diagnostics,diagnostics/results,1,EVENT
/opportunities,opportunities/complete+intelligence-status,2,EVENT
